user_id,name_x,carbon_reduction,total_weekly_carbon_reduction,total_mission_count,total_clicks,predicted_carbon_reduction,percentile_rank,eco_category,age_group,region,group_avg_carbon_reduction,carbon_reduction_diff,personal_feedback
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,광주,58.64651162790715,27.753488372093294,당신은 같은 연령대(20대 후반) 광주 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,광주,58.64651162790715,27.753488372093294,당신은 같은 연령대(20대 후반) 광주 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,광주,63.89134615384638,22.50865384615407,당신은 같은 연령대(30대) 광주 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,부산,60.93722627737246,25.462773722627986,당신은 같은 연령대(20대 초반) 부산 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,대구,61.28490566037756,25.115094339622885,당신은 같은 연령대(20대 초반) 대구 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,대전,66.95084745762738,19.44915254237307,당신은 같은 연령대(30대) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,대전,66.95084745762738,19.44915254237307,당신은 같은 연령대(30대) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,대전,61.09065420560768,25.30934579439277,당신은 같은 연령대(20대 후반) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,대전,61.09065420560768,25.30934579439277,당신은 같은 연령대(20대 후반) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,대전,66.95084745762738,19.44915254237307,당신은 같은 연령대(30대) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,서울,61.6140000000002,24.786000000000243,당신은 같은 연령대(20대 후반) 서울 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,대전,66.95084745762738,19.44915254237307,당신은 같은 연령대(30대) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,부산,58.860000000000184,27.540000000000262,당신은 같은 연령대(30대) 부산 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,광주,63.89134615384638,22.50865384615407,당신은 같은 연령대(30대) 광주 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,부산,60.93722627737246,25.462773722627986,당신은 같은 연령대(20대 초반) 부산 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,부산,58.860000000000184,27.540000000000262,당신은 같은 연령대(30대) 부산 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,대전,56.74778761061963,29.652212389380814,당신은 같은 연령대(20대 초반) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,부산,61.65703125000021,24.742968750000237,당신은 같은 연령대(20대 후반) 부산 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,광주,63.89134615384638,22.50865384615407,당신은 같은 연령대(30대) 광주 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,대전,66.95084745762738,19.44915254237307,당신은 같은 연령대(30대) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,대전,56.74778761061963,29.652212389380814,당신은 같은 연령대(20대 초반) 대전 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 후반,서울,61.6140000000002,24.786000000000243,당신은 같은 연령대(20대 후반) 서울 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,대구,62.79428571428593,23.60571428571452,당신은 같은 연령대(30대) 대구 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,서울,61.505084745762915,24.89491525423753,당신은 같은 연령대(20대 초반) 서울 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,20대 초반,광주,60.71284403669745,25.687155963303,당신은 같은 연령대(20대 초반) 광주 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
101,텀블러 사용하기,0.3,86.4,756,756.0,86.40000000000045,77.80717225161669,상위 25% - 훌륭한 에코스텝러! 🌱,30대,서울,58.050000000000175,28.35000000000027,당신은 같은 연령대(30대) 서울 지역 사용자들보다 더 많은 환경 기여를 하고 있어요! 🎉
